City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
66,Nhulunbuy,AU,2021-12-26 19:30:50,-12.2333,136.7667,75.81,100,75,9.22
67,Deggendorf,DE,2021-12-26 19:30:50,48.8333,12.9667,36.93,70,91,4.92
68,Portland,US,2021-12-26 19:28:26,45.5234,-122.6762,36.75,89,75,3.0
69,Touros,BR,2021-12-26 19:30:51,-5.1989,-35.4608,85.1,72,94,12.08
70,Cockburn Town,TC,2021-12-26 19:30:51,21.4612,-71.1419,78.01,74,0,9.01
71,Bluff,NZ,2021-12-26 19:30:52,-46.6,168.3333,55.8,67,37,15.73
72,Flinders,AU,2021-12-26 19:30:52,-34.5833,150.8552,64.2,83,91,8.01
73,Upernavik,GL,2021-12-26 19:30:53,72.7868,-56.1549,-4.32,100,100,14.09
74,Kapaa,US,2021-12-26 19:30:53,22.0752,-159.319,75.52,75,20,5.01
75,Cuamba,MZ,2021-12-26 19:30:53,-14.8031,36.5372,82.18,46,99,5.28
76,Gat,IL,2021-12-26 19:30:54,31.61,34.7642,58.41,59,1,3.09
77,Berestechko,UA,2021-12-26 19:30:54,50.3605,25.1107,16.0,93,5,2.15
78,Shingu,JP,2021-12-26 19:30:54,33.7333,135.9833,36.91,68,7,11.95
79,Bagrami,AF,2021-12-26 19:30:55,34.4938,69.2743,33.94,90,88,1.7
80,Chifeng,CN,2021-12-26 19:30:55,42.2683,118.9636,7.57,68,0,6.87
81,Amapa,BR,2021-12-26 19:30:56,1.0,-52.0,77.94,92,93,3.62
82,Terme,TR,2021-12-26 19:30:56,41.2092,36.9739,55.33,62,94,6.04
83,Progreso,MX,2021-12-26 19:30:56,21.2833,-89.6667,85.1,52,0,8.9
84,Sayyan,YE,2021-12-26 19:30:57,15.1718,44.3244,55.26,27,0,4.29
85,Lockhart,US,2021-12-26 19:30:57,28.6194,-81.4426,80.4,62,1,3.0
86,Hilo,US,2021-12-26 19:27:39,19.7297,-155.09,75.79,49,1,3.44
87,Evensk,RU,2021-12-26 19:31:58,61.95,159.2333,-16.76,75,12,15.23
88,Ancud,CL,2021-12-26 19:31:58,-41.8697,-73.8203,72.93,76,45,9.33
89,College,US,2021-12-26 19:31:59,64.8569,-147.8028,28.42,93,90,4.61
90,Ponta Do Sol,PT,2021-12-26 19:31:59,32.6667,-17.1,70.0,89,86,5.06
91,Chikwawa,MW,2021-12-26 19:31:59,-16.0335,34.8009,81.3,69,24,6.87
92,Chambas,CU,2021-12-26 19:32:00,22.1928,-78.9136,80.22,58,18,13.35
93,Xiangfan,CN,2021-12-26 19:32:00,32.0422,112.1448,29.26,41,12,2.26
94,Saint-Philippe,RE,2021-12-26 19:32:01,-21.3585,55.7679,78.35,87,41,11.3
95,Hermanus,ZA,2021-12-26 19:32:01,-34.4187,19.2345,68.81,87,0,9.01
96,Adamovka,RU,2021-12-26 19:32:01,51.5223,59.9396,11.43,90,100,21.81
97,Verkhnyaya Toyma,RU,2021-12-26 19:32:02,62.2349,44.9985,6.94,96,100,5.59
98,Sitka,US,2021-12-26 19:32:02,57.0531,-135.33,21.09,63,40,0.0
99,Loa Janan,ID,2021-12-26 19:32:02,-0.583,117.095,73.0,99,100,2.89
100,Tindwari,IN,2021-12-26 19:32:02,25.6167,80.5333,58.21,53,68,5.26
101,Ahipara,NZ,2021-12-26 19:32:03,-35.1667,173.1667,67.23,83,100,5.57
102,Lavrentiya,RU,2021-12-26 19:32:03,65.5833,-171.0,-0.36,85,100,8.99
103,Vao,NC,2021-12-26 19:32:03,-22.6667,167.4833,76.69,77,51,6.64
104,Dunedin,NZ,2021-12-26 19:28:25,-45.8742,170.5036,53.8,83,100,8.01
105,Butaritari,KI,2021-12-26 19:32:04,3.0707,172.7902,81.99,76,95,15.03
106,Coromandel,BR,2021-12-26 19:27:55,-18.4733,-47.2003,75.31,68,97,2.3
107,Avarua,CK,2021-12-26 19:32:05,-21.2078,-159.775,78.85,73,75,5.75
108,Borogontsy,RU,2021-12-26 19:32:05,62.6683,131.1683,-54.36,100,68,1.79
109,Guerrero Negro,MX,2021-12-26 19:32:05,27.9769,-114.0611,64.63,57,100,17.45
110,Banjar,ID,2021-12-26 19:32:06,-8.19,114.9675,84.06,89,100,6.33
111,Tiksi,RU,2021-12-26 19:32:06,71.6872,128.8694,-8.36,97,100,4.88
112,Katghora,IN,2021-12-26 19:32:06,22.5,82.55,56.98,56,51,5.28
113,Puerto Ayora,EC,2021-12-26 19:32:07,-0.7393,-90.3518,80.56,86,96,10.09
114,Caravelas,BR,2021-12-26 19:32:07,-17.7125,-39.2481,77.14,81,63,5.28
115,Itarema,BR,2021-12-26 19:32:07,-2.9248,-39.9167,81.57,73,100,10.16
116,Vila Do Maio,CV,2021-12-26 19:32:08,15.1333,-23.2167,77.79,69,1,14.52
