City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
79,Ribeira Grande,PT,38.5167,-28.7,63.0,59,20,8.05,few clouds
80,Georgetown,MY,5.4112,100.3354,83.89,83,20,5.01,few clouds
81,Flin Flon,CA,54.7682,-101.865,-13.16,70,100,6.91,light snow
82,Taoudenni,ML,22.6783,-3.9836,69.89,15,84,17.83,broken clouds
83,East London,ZA,-33.0153,27.9116,76.14,73,20,11.5,few clouds
84,Bredasdorp,ZA,-34.5322,20.0403,84.27,73,3,21.85,clear sky
85,Saint George,US,37.1041,-113.5841,46.54,78,0,8.05,clear sky
86,Rawson,AR,-43.3002,-65.1023,82.22,35,0,10.54,clear sky
87,Port Elizabeth,ZA,-33.918,25.5701,79.09,61,0,20.71,clear sky
88,Tromso,NO,69.6496,18.957,28.42,80,100,1.01,light snow
89,Chokurdakh,RU,70.6333,147.9167,-12.12,98,100,6.85,overcast clouds
90,Butaritari,KI,3.0707,172.7902,77.45,92,100,12.53,heavy intensity rain
91,Winchester,GB,51.0651,-1.3187,52.09,85,75,8.99,broken clouds
92,Hithadhoo,MV,-0.6,73.0833,82.36,73,26,5.77,scattered clouds
93,Marovoay,MG,-16.1,46.6333,84.34,81,100,8.72,light rain
94,Portsmouth,GB,50.799,-1.0913,52.57,97,100,11.99,overcast clouds
95,Palmer,US,42.1584,-72.3287,19.2,58,0,1.99,clear sky
96,Longyearbyen,SJ,78.2186,15.6401,6.64,72,75,10.36,light snow
97,Le Vauclin,MQ,14.5452,-60.8388,84.25,61,75,19.57,broken clouds
98,Carrefour,HT,18.5411,-72.3992,80.78,69,20,8.05,few clouds
99,Ishigaki,JP,24.3448,124.1572,68.36,74,98,20.2,overcast clouds
100,Nowy Targ,PL,49.4778,20.0323,31.95,58,100,1.92,overcast clouds
101,Imbituba,BR,-28.24,-48.6703,76.89,56,79,8.16,broken clouds
102,Zheleznodorozhnyy,RU,55.7503,38.0042,23.52,97,68,5.08,broken clouds
103,Mangan,IN,27.5167,88.5333,56.66,65,54,5.3,broken clouds
104,Lasa,IT,46.6166,10.7002,38.28,84,45,5.7,scattered clouds
105,Hovd,MN,48.0056,91.6419,8.02,96,93,2.37,overcast clouds
106,Kieta,PG,-6.2167,155.6333,78.46,86,47,5.77,scattered clouds
107,Caravelas,BR,-17.7125,-39.2481,83.88,76,99,10.42,overcast clouds
108,Eureka,US,40.8021,-124.1637,38.59,95,13,5.32,few clouds
109,Oranjemund,NA,-28.55,16.4333,70.36,78,20,12.24,few clouds
110,Piacabucu,BR,-10.4056,-36.4344,86.32,56,95,14.94,overcast clouds
111,Sobolevo,RU,54.4299,31.8996,19.2,91,100,9.06,overcast clouds
112,Comodoro Rivadavia,AR,-45.8667,-67.5,82.26,30,20,27.63,few clouds
113,Auki,SB,-8.7676,160.7034,77.18,89,99,4.47,heavy intensity rain
114,Zhangye,CN,38.9342,100.4517,26.1,38,3,1.81,clear sky
115,Lorengau,PG,-2.0226,147.2712,81.27,71,99,11.34,overcast clouds
116,New Norfolk,AU,-42.7826,147.0587,54.91,86,61,1.43,broken clouds
117,Tokonou,GN,9.65,-9.7833,92.21,13,33,5.08,scattered clouds
118,Padang,ID,-0.9492,100.3543,78.01,92,100,5.64,overcast clouds
119,Teguise,ES,29.0605,-13.564,64.62,60,0,12.66,clear sky
120,Husavik,IS,66.0449,-17.3389,35.51,80,70,12.59,broken clouds
